clock,horizon_s,group,arm,objects,points,xy_epe_m,xyz_epe_m,predicted_speed_mps,all_support_fraction,quality_support_fraction
nominal,1.5,stationary,CRN_CV,178,17942,0.06411046275802121,0.1056450105774148,0.017437840093498993,0.31958930605230673,0.2734346558066423
nominal,1.5,stationary,CV_D_speed05,178,17942,0.07045622947322919,0.11186269711777318,0.021803796136286413,0.31958930605230673,0.2734346558066423
nominal,1.5,stationary,surface_all_zero,178,17942,0.5044707346142838,0.535818025614092,0.31707405520879284,0.31958930605230673,0.2734346558066423
nominal,1.5,stationary,surface_quality_zero,178,17942,0.3595743933721332,0.3946544356369393,0.21905508185942713,0.31958930605230673,0.2734346558066423
nominal,1.5,stationary,CV_surface_all_uncovered,178,17942,0.19985728012989187,0.23684625743563897,0.10939110028607546,0.31958930605230673,0.2734346558066423
nominal,1.5,stationary,CV_surface_quality_uncovered,178,17942,0.13942841682403473,0.1782446118897479,0.06871530809962616,0.31958930605230673,0.2734346558066423
nominal,1.5,ambiguous,zero,45,8681,0.28606325702822577,0.30331728022894433,0.0,0.3858519427895714,0.32717006887405997
nominal,1.5,ambiguous,D,45,8681,0.3178536751741151,0.33866774848637665,0.10012698462522965,0.3858519427895714,0.32717006887405997
nominal,1.5,ambiguous,CRN_CV,45,8681,0.3107593725051718,0.3277755283540133,0.041099318000766494,0.3858519427895714,0.32717006887405997
nominal,1.5,ambiguous,CV_D_speed05,45,8681,0.3213269268676434,0.33827837308890707,0.05106796747902911,0.3858519427895714,0.32717006887405997
nominal,1.5,ambiguous,surface_all_zero,45,8681,0.8732790052331103,0.8887754082426381,0.47298234090367,0.3858519427895714,0.32717006887405997
nominal,1.5,ambiguous,surface_quality_zero,45,8681,0.6734045830076305,0.6892697775609031,0.3283957054474395,0.3858519427895714,0.32717006887405997
nominal,1.5,ambiguous,CV_surface_all_uncovered,45,8681,0.4189106176392691,0.435791573530309,0.12704114945620804,0.3858519427895714,0.32717006887405997
nominal,1.5,ambiguous,CV_surface_quality_uncovered,45,8681,0.37326226904076965,0.3901607762860755,0.09306354564161509,0.3858519427895714,0.32717006887405997
nominal,1.5,moving,zero,135,12016,4.954941410962016,4.9643916032547155,0.0,0.3632659623536863,0.301183468099658
nominal,1.5,moving,D,135,12016,2.9361602798374036,2.953341671780205,1.7881890914313534,0.3632659623536863,0.301183468099658
nominal,1.5,moving,CRN_CV,135,12016,2.106417565078973,2.128380053293279,2.311982965643991,0.3632659623536863,0.301183468099658
nominal,1.5,moving,CV_D_speed05,135,12016,1.887403807459445,1.9098792744704787,2.489386894522534,0.3632659623536863,0.301183468099658
nominal,1.5,moving,surface_all_zero,135,12016,4.343576327984632,4.354353508657673,0.9722994704915503,0.3632659623536863,0.301183468099658
nominal,1.5,moving,surface_quality_zero,135,12016,4.3734747118000055,4.384061407398979,0.8117322409906467,0.3632659623536863,0.301183468099658
nominal,1.5,moving,CV_surface_all_uncovered,135,12016,2.0094242949566494,2.031496934471388,2.480122837427016,0.3632659623536863,0.301183468099658
nominal,1.5,moving,CV_surface_quality_uncovered,135,12016,2.0100421729811044,2.0322112855108334,2.4258783328639817,0.3632659623536863,0.301183468099658
nominal,2.0,all,zero,359,39460,2.6136904585436485,2.6448302705164517,0.0,0.3430460282498326,0.2894600984609186
nominal,2.0,all,D,359,39460,1.6971111170890343,1.7254855957089534,0.7176942182060678,0.3430460282498326,0.2894600984609186
nominal,2.0,all,CRN_CV,359,39460,1.2446216460803774,1.2803780763674704,0.8823466907382665,0.3430460282498326,0.2894600984609186
nominal,2.0,all,CV_D_speed05,359,39460,1.1418134943955305,1.177724319011734,0.9516958852661879,0.3430460282498326,0.2894600984609186
nominal,2.0,all,surface_all_zero,359,39460,2.7190732756184803,2.7441839253436915,0.5806254546113898,0.3430460282498326,0.2894600984609186
nominal,2.0,all,surface_quality_zero,359,39460,2.6035927948818234,2.6308751925118985,0.45352141050459455,0.3430460282498326,0.2894600984609186
nominal,2.0,all,CV_surface_all_uncovered,359,39460,1.3056540638528122,1.3389404305080874,1.0019398534694137,0.3430460282498326,0.2894600984609186
nominal,2.0,all,CV_surface_quality_uncovered,359,39460,1.2579469116967965,1.2923696563518743,0.9571145295227441,0.3430460282498326,0.2894600984609186
nominal,2.0,stationary,zero,184,18544,0.05639980784753538,0.10424103325078357,0.0,0.3240819460055203,0.27687799761542836
nominal,2.0,stationary,D,184,18544,0.19624840643693475,0.2311511558675455,0.0885521566984818,0.3240819460055203,0.27687799761542836
nominal,2.0,stationary,CRN_CV,184,18544,0.09218211358629505,0.13787075522155973,0.01954449751352518,0.3240819460055203,0.27687799761542836
nominal,2.0,stationary,CV_D_speed05,184,18544,0.10102651980288725,0.14651756622308143,0.02417664324034262,0.3240819460055203,0.27687799761542836
nominal,2.0,stationary,surface_all_zero,184,18544,0.6704408031960929,0.7057327863385565,0.31545495570351767,0.3240819460055203,0.27687799761542836
nominal,2.0,stationary,surface_quality_zero,184,18544,0.4707372373270453,0.5103437581918844,0.2143303768550622,0.3240819460055203,0.27687799761542836
nominal,2.0,stationary,CV_surface_all_uncovered,184,18544,0.2682116771991057,0.309111171944253,0.10906945870112898,0.3240819460055203,0.27687799761542836
nominal,2.0,stationary,CV_surface_quality_uncovered,184,18544,0.18869235418555635,0.23169568648720706,0.06898901682585656,0.3240819460055203,0.27687799761542836
nominal,2.0,ambiguous,zero,38,7898,0.3913189208920909,0.4076908536292404,0.0,0.3566962585682408,0.3003953226169419
nominal,2.0,ambiguous,D,38,7898,0.4331349735161667,0.4516406449766553,0.10278369867448622,0.3566962585682408,0.3003953226169419
nominal,2.0,ambiguous,CRN_CV,38,7898,0.41569086352548323,0.4317963248432377,0.035824298356056605,0.3566962585682408,0.3003953226169419
nominal,2.0,ambiguous,CV_D_speed05,38,7898,0.4277934217622428,0.443900680123506,0.0448340021737339,0.3566962585682408,0.3003953226169419
nominal,2.0,ambiguous,surface_all_zero,38,7898,1.2004955590610693,1.215682562682163,0.48136091666254704,0.3566962585682408,0.3003953226169419
nominal,2.0,ambiguous,surface_quality_zero,38,7898,0.9445727934295419,0.9602046929664696,0.3418323318711458,0.3566962585682408,0.3003953226169419
nominal,2.0,ambiguous,CV_surface_all_uncovered,38,7898,0.5833405805120261,0.5990913565755264,0.1336511903461778,0.3566962585682408,0.3003953226169419
nominal,2.0,ambiguous,CV_surface_quality_uncovered,38,7898,0.5192009436407549,0.5349929391294704,0.097592720661578,0.3566962585682408,0.3003953226169419
nominal,2.0,moving,zero,137,13018,6.6647240217468875,6.677528938389423,0.0,0.36472984124876634,0.3033255585896873
nominal,2.0,moving,D,137,13018,4.063460257350022,4.0858041727793655,1.7332324595169872,0.36472984124876634,0.3033255585896873
nominal,2.0,moving,CRN_CV,137,13018,3.022346052766488,3.0502135044606704,2.2759485481388246,0.36472984124876634,0.3033255585896873
nominal,2.0,moving,CV_D_speed05,137,13018,2.7377081373525476,2.7662450547114767,2.4489534917645006,0.36472984124876634,0.3033255585896873
nominal,2.0,moving,surface_all_zero,137,13018,5.891732605216299,5.905921599490282,0.9643000841085028,0.36472984124876634,0.3033255585896873
nominal,2.0,moving,surface_quality_zero,137,13018,5.928324055066247,5.942285870596635,0.8057501344431711,0.36472984124876634,0.3033255585896873
nominal,2.0,moving,CV_surface_all_uncovered,137,13018,2.8993570675844316,2.9272823895240205,2.441962640593847,0.36472984124876634,0.3033255585896873
nominal,2.0,moving,CV_surface_quality_uncovered,137,13018,2.8989336662091887,2.926999771020124,2.388332946113632,0.36472984124876634,0.3033255585896873
actual,0.5,all,zero,373,40622,0.6567450000573326,0.6683432254973444,0.0,0.3330032803671493,0.28047224359881073
actual,0.5,all,D,373,40622,0.44377511622794596,0.45417120106328646,0.730093838766441,0.3330032803671493,0.28047224359881073
actual,0.5,all,CRN_CV,373,40622,0.30183144301089637,0.3152071557827367,0.8583181279826082,0.3330032803671493,0.28047224359881073
actual,0.5,all,CV_D_speed05,373,40622,0.27787369814241897,0.29125241944591457,0.9277685861176564,0.3330032803671493,0.28047224359881073
actual,0.5,all,surface_all_zero,373,40622,0.6805848397721636,0.6898695983538607,0.5648321632994371,0.3330032803671493,0.28047224359881073
actual,0.5,all,surface_quality_zero,373,40622,0.65434086765456,0.6645136420220457,0.44021530947622095,0.3330032803671493,0.28047224359881073
actual,0.5,all,CV_surface_all_uncovered,373,40622,0.31639925222841003,0.32877668062681764,0.9755181317657057,0.3330032803671493,0.28047224359881073
actual,0.5,all,CV_surface_quality_uncovered,373,40622,0.305173524415594,0.3179668209670061,0.9316137303957375,0.3330032803671493,0.28047224359881073
actual,0.5,stationary,zero,184,18667,0.011037193621901125,0.02950468373243219,0.0,0.30728948222947966,0.26334342088610785
actual,0.5,stationary,D,184,18667,0.05294487294119879,0.06734722483602229,0.10021871043766904,0.30728948222947966,0.26334342088610785
actual,0.5,stationary,CRN_CV,184,18667,0.01584642786864806,0.033663558781404694,0.010779323167090828,0.30728948222947966,0.26334342088610785
actual,0.5,stationary,CV_D_speed05,184,18667,0.017782417935804228,0.03557593481355879,0.014711593375573668,0.30728948222947966,0.26334342088610785
actual,0.5,stationary,surface_all_zero,184,18667,0.16508304658721346,0.17850931471037554,0.3093197678182367,0.30728948222947966,0.26334342088610785
actual,0.5,stationary,surface_quality_zero,184,18667,0.1160260106036601,0.13126972368324508,0.2111522087846334,0.30728948222947966,0.26334342088610785
actual,0.5,stationary,CV_surface_all_uncovered,184,18667,0.060576724976005365,0.07635731814110343,0.10069667209623433,0.30728948222947966,0.26334342088610785
actual,0.5,stationary,CV_surface_quality_uncovered,184,18667,0.04035927932285046,0.0569479967469064,0.06001367604392074,0.30728948222947966,0.26334342088610785
actual,0.5,ambiguous,zero,47,7237,0.10265601702990956,0.11285053870133963,0.0,0.3538732830682648,0.2977388217116097
actual,0.5,ambiguous,D,47,7237,0.12525331367963874,0.13511529866742175,0.11642452979838998,0.3538732830682648,0.2977388217116097
actual,0.5,ambiguous,CRN_CV,47,7237,0.11679110234522277,0.126985230302808,0.03279745002716688,0.3538732830682648,0.2977388217116097
actual,0.5,ambiguous,CV_D_speed05,47,7237,0.12045290818066025,0.13053976727466726,0.04267278152373706,0.3538732830682648,0.2977388217116097
actual,0.5,ambiguous,surface_all_zero,47,7237,0.25426241957431267,0.2634705026217311,0.3869258921082278,0.3538732830682648,0.2977388217116097
actual,0.5,ambiguous,surface_quality_zero,47,7237,0.20701265701292804,0.21660205363544052,0.2752661008101552,0.3538732830682648,0.2977388217116097
actual,0.5,ambiguous,CV_surface_all_uncovered,47,7237,0.14611155989858382,0.15613148970095111,0.10903860992975174,0.3538732830682648,0.2977388217116097
actual,0.5,ambiguous,CV_surface_quality_uncovered,47,7237,0.13675042240632723,0.14686115142340864,0.086060673542873,0.3538732830682648,0.2977388217116097
actual,0.5,moving,zero,142,14718,1.676832454891194,1.6799942674984434,0.0,0.3594148911444648,0.2969523436539922
actual,0.5,moving,D,142,14718,1.0556292675274666,1.0610109126014713,1.7493859594283598,0.3594148911444648,0.2969523436539922
actual,0.5,moving,CRN_CV,142,14718,0.733649321866251,0.74232301737289,2.2297731417147277,0.3594148911444648,0.2969523436539922
actual,0.5,moving,CV_D_speed05,142,14718,0.6669974494538257,0.6757451506036757,2.4038389345715823,0.3594148911444648,0.2969523436539922
actual,0.5,moving,surface_all_zero,142,14718,1.4896657108660356,1.4936093849018284,0.9548031176270969,0.3594148911444648,0.2969523436539922
actual,0.5,moving,surface_quality_zero,142,14718,1.4999349493272518,1.5037300196876076,0.7916253329590183,0.3594148911444648,0.2969523436539922
actual,0.5,moving,CV_surface_all_uncovered,142,14718,0.7042504251435108,0.7129984177457411,2.395882118423963,0.3594148911444648,0.2969523436539922
actual,0.5,moving,CV_surface_quality_uncovered,142,14718,0.7040587842148923,0.7128219626926924,2.34087713654235,0.3594148911444648,0.2969523436539922
actual,1.0,all,zero,366,39975,1.2602264619109147,1.2802993571791126,0.0,0.338365288741523,0.28536224639151625
actual,1.0,all,D,366,39975,0.8053896457440783,0.8236570422292054,0.7296340265227822,0.338365288741523,0.28536224639151625
actual,1.0,all,CRN_CV,366,39975,0.5519909114748445,0.5751559942775551,0.8747040311781276,0.338365288741523,0.28536224639151625
actual,1.0,all,CV_D_speed05,366,39975,0.501864832474993,0.5250687237832947,0.9443520866871662,0.338365288741523,0.28536224639151625
actual,1.0,all,surface_all_zero,366,39975,1.305112884016607,1.321346831067748,0.5755175434364826,0.338365288741523,0.28536224639151625
actual,1.0,all,surface_quality_zero,366,39975,1.2523339420705224,1.2700556236226561,0.44876791143659855,0.338365288741523,0.28536224639151625
actual,1.0,all,CV_surface_all_uncovered,366,39975,0.5812308397027172,0.6026867231983404,0.994016371213286,0.338365288741523,0.28536224639151625
actual,1.0,all,CV_surface_quality_uncovered,366,39975,0.558726244835199,0.5809425699961184,0.9492722681777721,0.338365288741523,0.28536224639151625
actual,1.0,stationary,zero,180,18337,0.02509893780165559,0.05482626941543632,0.0,0.3131069920280624,0.2656142357504035
actual,1.0,stationary,D,180,18337,0.09796353829894705,0.12086380343248063,0.09113477438780729,0.3131069920280624,0.2656142357504035
