clock,horizon_s,group,arm,objects,points,xy_epe_m,xyz_epe_m,predicted_speed_mps,all_support_fraction,fb1_support_fraction
nominal,0.5,all,zero,373,40622,0.6567450000573326,0.6683432254973444,0.0,0.5697989740456191,0.3656810910624857
nominal,0.5,all,D,373,40622,0.44377511622794596,0.45417120106328646,0.7249305202221108,0.5697989740456191,0.3656810910624857
nominal,0.5,all,CRN_CV,373,40622,0.3016906940553417,0.31508233781325773,0.8583181279826082,0.5697989740456191,0.3656810910624857
nominal,0.5,all,CV_D_speed05,373,40622,0.27773294918686425,0.29112760147643557,0.9270133788683432,0.5697989740456191,0.3656810910624857
nominal,0.5,all,surface_all_zero,373,40622,2.9314886335194,2.9422718481091983,5.371244378014846,0.5697989740456191,0.3656810910624857
nominal,0.5,all,surface_fb1_zero,373,40622,1.4783714744426881,1.489089532263914,2.140398839774475,0.5697989740456191,0.3656810910624857
nominal,0.5,all,CV_surface_all_uncovered,373,40622,1.0195500545699492,1.0318406458914071,2.4363147167974986,0.5697989740456191,0.3656810910624857
nominal,0.5,all,CV_surface_fb1_uncovered,373,40622,0.5040977645784497,0.5171593977230372,1.3431587733662131,0.5697989740456191,0.3656810910624857
nominal,0.5,stationary,zero,184,18667,0.011037193621901125,0.02950468373243219,0.0,0.5659340603735982,0.40451658606321245
nominal,0.5,stationary,D,184,18667,0.05294487294119879,0.06734722483602229,0.1006628141982511,0.5659340603735982,0.40451658606321245
nominal,0.5,stationary,CRN_CV,184,18667,0.0158253056713551,0.03364995264502032,0.010779323167090828,0.5659340603735982,0.40451658606321245
nominal,0.5,stationary,CV_D_speed05,184,18667,0.017761295738511273,0.03556232867717444,0.01471886080074885,0.5659340603735982,0.40451658606321245
nominal,0.5,stationary,surface_all_zero,184,18667,2.2480249161119366,2.260788839565936,4.487291565030174,0.5659340603735982,0.40451658606321245
nominal,0.5,stationary,surface_fb1_zero,184,18667,0.8713186091689729,0.8873361151229375,1.7293947225214183,0.5659340603735982,0.40451658606321245
nominal,0.5,stationary,CV_surface_all_uncovered,184,18667,0.7541297156911664,0.7686176379610657,1.4907194120523126,0.5659340603735982,0.40451658606321245
nominal,0.5,stationary,CV_surface_fb1_uncovered,184,18667,0.260290068338192,0.27728192222344994,0.5016484822840397,0.5659340603735982,0.40451658606321245
nominal,0.5,ambiguous,zero,47,7237,0.10265601702990956,0.11285053870133963,0.0,0.6147919818027258,0.38909103673385126
nominal,0.5,ambiguous,D,47,7237,0.12525331367963874,0.13511529866742175,0.11651060606876405,0.6147919818027258,0.38909103673385126
nominal,0.5,ambiguous,CRN_CV,47,7237,0.11680921431439813,0.1270020107510264,0.03279745002716688,0.6147919818027258,0.38909103673385126
nominal,0.5,ambiguous,CV_D_speed05,47,7237,0.12047102014983563,0.13055654772288566,0.04270379801641479,0.6147919818027258,0.38909103673385126
nominal,0.5,ambiguous,surface_all_zero,47,7237,2.925333010222351,2.934874996249408,5.794876165307311,0.6147919818027258,0.38909103673385126
nominal,0.5,ambiguous,surface_fb1_zero,47,7237,0.8570286537826932,0.8663976787663543,1.5937093701665261,0.6147919818027258,0.38909103673385126
nominal,0.5,ambiguous,CV_surface_all_uncovered,47,7237,0.9795016019177708,0.9889319251013562,1.7962968197899987,0.6147919818027258,0.38909103673385126
nominal,0.5,ambiguous,CV_surface_fb1_uncovered,47,7237,0.2732055131840278,0.28325843949333773,0.36331382733762285,0.6147919818027258,0.38909103673385126
nominal,0.5,moving,zero,142,14718,1.676832454891194,1.6799942674984434,0.0,0.5599149793348293,0.3076106789027119
nominal,0.5,moving,D,142,14718,1.0556292675274666,1.0610109126014713,1.735219209472798,0.5599149793348293,0.3076106789027119
nominal,0.5,moving,CRN_CV,142,14718,0.733300982861524,0.7420072268476278,2.2297731417147277,0.5599149793348293,0.3076106789027119
nominal,0.5,moving,CV_D_speed05,142,14718,0.6666491104490987,0.6754293600784138,2.401835502984386,0.5599149793348293,0.3076106789027119
nominal,0.5,moving,surface_all_zero,142,14718,3.819141015899222,3.827768507330115,6.376431868060155,0.5599149793348293,0.3076106789027119
nominal,0.5,moving,surface_fb1_zero,142,14718,2.4706309095228525,2.4749285876746536,2.853914069676842,0.5599149793348293,0.3076106789027119
nominal,0.5,moving,CV_surface_all_uncovered,142,14718,1.3767304744878954,1.3871205285415147,3.8734300494205036,0.5599149793348293,0.3076106789027119
nominal,0.5,moving,CV_surface_fb1_uncovered,142,14718,0.8964396795344021,0.9054044718689522,2.757881350989196,0.5599149793348293,0.3076106789027119
nominal,1.0,all,zero,366,39975,1.2602264619109147,1.2802993571791126,0.0,0.5761811991571152,0.37072272514322063
nominal,1.0,all,D,366,39975,0.8053896457440783,0.8236570422292054,0.726797379537968,0.5761811991571152,0.37072272514322063
nominal,1.0,all,CRN_CV,366,39975,0.5538969353351048,0.5770617616273134,0.8747040311781276,0.5761811991571152,0.37072272514322063
nominal,1.0,all,CV_D_speed05,366,39975,0.5037708563352533,0.5269744911330531,0.944127922625506,0.5761811991571152,0.37072272514322063
nominal,1.0,all,surface_all_zero,366,39975,5.838500520405056,5.858627187994331,5.416208457383026,0.5761811991571152,0.37072272514322063
nominal,1.0,all,surface_fb1_zero,366,39975,2.9140573640582663,2.9325066294244477,2.1596858350781143,0.5761811991571152,0.37072272514322063
nominal,1.0,all,CV_surface_all_uncovered,366,39975,2.013602125646048,2.035180586114793,2.4799552726162237,0.5761811991571152,0.37072272514322063
nominal,1.0,all,CV_surface_fb1_uncovered,366,39975,0.9641301020501902,0.9865863472405756,1.3673405060336796,0.5761811991571152,0.37072272514322063
nominal,1.0,stationary,zero,180,18337,0.02509893780165559,0.05482626941543632,0.0,0.5735823036708838,0.4059089464451614
nominal,1.0,stationary,D,180,18337,0.09796353829894705,0.12086380343248063,0.09040349416319585,0.5735823036708838,0.4059089464451614
nominal,1.0,stationary,CRN_CV,180,18337,0.03445256194259361,0.06325535754602926,0.011180930134919213,0.5735823036708838,0.4059089464451614
nominal,1.0,stationary,CV_D_speed05,180,18337,0.03838456948125217,0.06713266700065948,0.01517651870805479,0.5735823036708838,0.4059089464451614
nominal,1.0,stationary,surface_all_zero,180,18337,4.559284652466521,4.5813100919695,4.548564633503957,0.5735823036708838,0.4059089464451614
nominal,1.0,stationary,surface_fb1_zero,180,18337,1.7134899059240278,1.738566067343248,1.6971297670436432,0.5735823036708838,0.4059089464451614
nominal,1.0,stationary,CV_surface_all_uncovered,180,18337,1.5601563009562152,1.583692715014025,1.5402857735816273,0.5735823036708838,0.4059089464451614
nominal,1.0,stationary,CV_surface_fb1_uncovered,180,18337,0.5256007405105062,0.5526767666503358,0.5042113940914447,0.5735823036708838,0.4059089464451614
nominal,1.0,ambiguous,zero,51,9050,0.21746740150770247,0.23819688133581693,0.0,0.6367507210524256,0.40284712281884216
nominal,1.0,ambiguous,D,51,9050,0.2466403688263478,0.26638042478635826,0.11760772683730508,0.6367507210524256,0.40284712281884216
nominal,1.0,ambiguous,CRN_CV,51,9050,0.24679431816757366,0.2675471665488183,0.05822166423247533,0.6367507210524256,0.40284712281884216
nominal,1.0,ambiguous,CV_D_speed05,51,9050,0.25401715987064916,0.27454960296011305,0.06863013839884022,0.6367507210524256,0.40284712281884216
nominal,1.0,ambiguous,surface_all_zero,51,9050,5.771558895776314,5.799115646832811,5.7216103757017045,0.6367507210524256,0.40284712281884216
nominal,1.0,ambiguous,surface_fb1_zero,51,9050,1.839203202921781,1.8588837310455353,1.7164924211198533,0.6367507210524256,0.40284712281884216
nominal,1.0,ambiguous,CV_surface_all_uncovered,51,9050,2.0576741000696437,2.0829610527425424,1.912731122285344,0.6367507210524256,0.40284712281884216
nominal,1.0,ambiguous,CV_surface_fb1_uncovered,51,9050,0.5637744729429081,0.5842059454743317,0.3960367612140364,0.6367507210524256,0.40284712281884216
nominal,1.0,moving,zero,135,12588,3.3009943613200288,3.3079466317381474,0.0,0.5567645737560841,0.3116718798409538
nominal,1.0,moving,D,135,12588,1.9597075158398398,1.9712414161032477,1.805460873280137,0.5567645737560841,0.3116718798409538
nominal,1.0,moving,CRN_CV,135,12588,1.3625059774550758,1.379064702987568,2.3345170600818745,0.5567645737560841,0.3116718798409538
nominal,1.0,moving,CV_D_speed05,135,12588,1.2186373019161052,1.2354574366193554,2.5134734018899594,0.5567645737560841,0.3116718798409538
nominal,1.0,moving,surface_all_zero,135,12588,7.569410735849515,7.584198787132901,6.457692831190284,0.5567645737560841,0.3116718798409538
nominal,1.0,moving,surface_fb1_zero,135,12588,4.920869991333258,4.93001825158697,2.9438558821749754,0.5567645737560841,0.3116718798409538
nominal,1.0,moving,CV_surface_all_uncovered,135,12588,2.6015471460058,2.619114015745334,3.9471326170095744,0.5567645737560841,0.3116718798409538
nominal,1.0,moving,CV_surface_fb1_uncovered,135,12588,1.700081377321409,1.7171428286948096,2.8851162922218583,0.5567645737560841,0.3116718798409538
nominal,1.5,all,zero,358,38639,1.9247085686338619,1.9517254319590989,0.0,0.5809325540044801,0.3753538512650304
nominal,1.5,all,D,358,38639,1.2217340252085351,1.246359612516375,0.73238441393959,0.5809325540044801,0.3753538512650304
nominal,1.5,all,CRN_CV,358,38639,0.8652575570372119,0.8963296588081093,0.8856734782363578,0.5809325540044801,0.3753538512650304
nominal,1.5,all,CV_D_speed05,358,38639,0.7871520518500106,0.8183457791326231,0.9559954329870319,0.5809325540044801,0.3753538512650304
nominal,1.5,all,surface_all_zero,358,38639,8.85274853555445,8.881102466017866,5.464746698780204,0.5809325540044801,0.3753538512650304
nominal,1.5,all,surface_fb1_zero,358,38639,4.450147462243269,4.474350021235176,2.193843581375861,0.5809325540044801,0.3753538512650304
nominal,1.5,all,CV_surface_all_uncovered,358,38639,3.0898448156674387,3.1195643264831197,2.513326037599846,0.5809325540044801,0.3753538512650304
nominal,1.5,all,CV_surface_fb1_uncovered,358,38639,1.4915216802973763,1.5214458597240306,1.3835336850222906,0.5809325540044801,0.3753538512650304
nominal,1.5,stationary,zero,178,17942,0.04076253103809146,0.08357056512173242,0.0,0.5828329873228555,0.42257521019240335
nominal,1.5,stationary,D,178,17942,0.14997599923466848,0.18121105004858168,0.09147403673598427,0.5828329873228555,0.42257521019240335
nominal,1.5,stationary,CRN_CV,178,17942,0.06411046275802121,0.1056450105774148,0.017437840093498993,0.5828329873228555,0.42257521019240335
nominal,1.5,stationary,CV_D_speed05,178,17942,0.07045622947322919,0.11186269711777318,0.021803796136286413,0.5828329873228555,0.42257521019240335
nominal,1.5,stationary,surface_all_zero,178,17942,6.366458795826924,6.390881863242842,4.231805081101727,0.5828329873228555,0.42257521019240335
nominal,1.5,stationary,surface_fb1_zero,178,17942,2.7141237345412588,2.7488679698793086,1.7916035862438728,0.5828329873228555,0.42257521019240335
nominal,1.5,stationary,CV_surface_all_uncovered,178,17942,2.210557570953071,2.2438554674780784,1.4518792673573755,0.5828329873228555,0.42257521019240335
nominal,1.5,stationary,CV_surface_fb1_uncovered,178,17942,0.8092439560032922,0.8478712494085954,0.5160108337239084,0.5828329873228555,0.42257521019240335
nominal,1.5,ambiguous,zero,45,8681,0.28606325702822577,0.30331728022894433,0.0,0.6188618787001243,0.35207566905471643
nominal,1.5,ambiguous,D,45,8681,0.3178536751741151,0.33866774848637665,0.10012698462522965,0.6188618787001243,0.35207566905471643
nominal,1.5,ambiguous,CRN_CV,45,8681,0.3107593725051718,0.3277755283540133,0.041099318000766494,0.6188618787001243,0.35207566905471643
nominal,1.5,ambiguous,CV_D_speed05,45,8681,0.3213269268676434,0.33827837308890707,0.05106796747902911,0.6188618787001243,0.35207566905471643
nominal,1.5,ambiguous,surface_all_zero,45,8681,11.063009409024872,11.125221138069652,7.324830763100337,0.6188618787001243,0.35207566905471643
nominal,1.5,ambiguous,surface_fb1_zero,45,8681,2.4046717836490172,2.4200677019938643,1.4855234499842385,0.6188618787001243,0.35207566905471643
nominal,1.5,ambiguous,CV_surface_all_uncovered,45,8681,3.897842878133078,3.929914707432465,2.4633149687098714,0.6188618787001243,0.35207566905471643
nominal,1.5,ambiguous,CV_surface_fb1_uncovered,45,8681,0.774299289306259,0.7908228176775655,0.36280983424132046,0.6188618787001243,0.35207566905471643
nominal,1.5,moving,zero,135,12016,4.954941410962016,4.9643916032547155,0.0,0.565783689249111,0.32085100911978404
nominal,1.5,moving,D,135,12016,2.9361602798374036,2.953341671780205,1.7881890914313534,0.565783689249111,0.32085100911978404
nominal,1.5,moving,CRN_CV,135,12016,2.106417565078973,2.128380053293279,2.311982965643991,0.565783689249111,0.32085100911978404
nominal,1.5,moving,CV_D_speed05,135,12016,1.887403807459445,1.9098792744704787,2.489386894522534,0.565783689249111,0.32085100911978404
nominal,1.5,moving,surface_all_zero,135,12016,11.394213975297642,11.416464888622489,6.470375032501412,0.565783689249111,0.32085100911978404
nominal,1.5,moving,surface_fb1_zero,135,12016,7.420952122004004,7.434190832399644,2.96031117431006,0.565783689249111,0.32085100911978404
nominal,1.5,moving,CV_surface_all_uncovered,135,12016,3.979868643431912,4.004085880262205,3.9295336168828716,0.565783689249111,0.32085100911978404
nominal,1.5,moving,CV_surface_fb1_uncovered,135,12016,2.630191624882171,2.6531074710443154,2.8676199132908513,0.565783689249111,0.32085100911978404
nominal,2.0,all,zero,359,39460,2.6136904585436485,2.6448302705164517,0.0,0.5793966471257637,0.3727717323294076
nominal,2.0,all,D,359,39460,1.6971111170890343,1.7254855957089534,0.7176942182060678,0.5793966471257637,0.3727717323294076
nominal,2.0,all,CRN_CV,359,39460,1.2446216460803774,1.2803780763674704,0.8823466907382665,0.5793966471257637,0.3727717323294076
nominal,2.0,all,CV_D_speed05,359,39460,1.1418134943955305,1.177724319011734,0.9516958852661879,0.5793966471257637,0.3727717323294076
nominal,2.0,all,surface_all_zero,359,39460,11.830762525351517,11.866641840487295,5.444659477287504,0.5793966471257637,0.3727717323294076
nominal,2.0,all,surface_fb1_zero,359,39460,5.967097116224962,5.995573426031712,2.1802452776098034,0.5793966471257637,0.3727717323294076
nominal,2.0,all,CV_surface_all_uncovered,359,39460,4.200437975623251,4.235675613592613,2.503466006948106,0.5793966471257637,0.3727717323294076
nominal,2.0,all,CV_surface_fb1_uncovered,359,39460,2.0739198757462267,2.1086193878040387,1.3768207082774517,0.5793966471257637,0.3727717323294076
nominal,2.0,stationary,zero,184,18544,0.05639980784753538,0.10424103325078357,0.0,0.5851652000165276,0.41714025438036023
nominal,2.0,stationary,D,184,18544,0.19624840643693475,0.2311511558675455,0.0885521566984818,0.5851652000165276,0.41714025438036023
nominal,2.0,stationary,CRN_CV,184,18544,0.09218211358629505,0.13787075522155973,0.01954449751352518,0.5851652000165276,0.41714025438036023
nominal,2.0,stationary,CV_D_speed05,184,18544,0.10102651980288725,0.14651756622308143,0.02417664324034262,0.5851652000165276,0.41714025438036023
nominal,2.0,stationary,surface_all_zero,184,18544,8.633257504685115,8.66646771241789,4.303813310631012,0.5851652000165276,0.41714025438036023
nominal,2.0,stationary,surface_fb1_zero,184,18544,3.526272573134204,3.5651936386682967,1.7447748720488767,0.5851652000165276,0.41714025438036023
nominal,2.0,stationary,CV_surface_all_uncovered,184,18544,3.138398582278463,3.178952702739769,1.546183654138734,0.5851652000165276,0.41714025438036023
nominal,2.0,stationary,CV_surface_fb1_uncovered,184,18544,1.0309440411334059,1.0736804280032122,0.4907815375881828,0.5851652000165276,0.41714025438036023
nominal,2.0,ambiguous,zero,38,7898,0.3913189208920909,0.4076908536292404,0.0,0.6040053017494232,0.35762347901140906
nominal,2.0,ambiguous,D,38,7898,0.4331349735161667,0.4516406449766553,0.10278369867448622,0.6040053017494232,0.35762347901140906
nominal,2.0,ambiguous,CRN_CV,38,7898,0.41569086352548323,0.4317963248432377,0.035824298356056605,0.6040053017494232,0.35762347901140906
nominal,2.0,ambiguous,CV_D_speed05,38,7898,0.4277934217622428,0.443900680123506,0.0448340021737339,0.6040053017494232,0.35762347901140906
nominal,2.0,ambiguous,surface_all_zero,38,7898,11.521757339566522,11.544716705987492,5.71475864629822,0.6040053017494232,0.35762347901140906
nominal,2.0,ambiguous,surface_fb1_zero,38,7898,3.3796044547833475,3.3953226701870935,1.5712168746267159,0.6040053017494232,0.35762347901140906
nominal,2.0,ambiguous,CV_surface_all_uncovered,38,7898,4.331718448222371,4.351205279112247,2.0260252166083768,0.6040053017494232,0.35762347901140906
nominal,2.0,ambiguous,CV_surface_fb1_uncovered,38,7898,1.2192776913940988,1.2350855956767777,0.4515497981061703,0.6040053017494232,0.35762347901140906
nominal,2.0,moving,zero,137,13018,6.6647240217468875,6.677528938389423,0.0,0.5648233434206569,0.31738359779443437
nominal,2.0,moving,D,137,13018,4.063460257350022,4.0858041727793655,1.7332324595169872,0.5648233434206569,0.31738359779443437
nominal,2.0,moving,CRN_CV,137,13018,3.022346052766488,3.0502135044606704,2.2759485481388246,0.5648233434206569,0.31738359779443437
nominal,2.0,moving,CV_D_speed05,137,13018,2.7377081373525476,2.7662450547114767,2.4489534917645006,0.5648233434206569,0.31738359779443437
nominal,2.0,moving,surface_all_zero,137,13018,16.210931290770844,16.25397902790163,6.90197280752391,0.5648233434206569,0.31738359779443437
nominal,2.0,moving,surface_fb1_zero,137,13018,9.962983518148178,9.980970576374514,2.9340382260519045,0.5648233434206569,0.31738359779443437
nominal,2.0,moving,CV_surface_all_uncovered,137,13018,5.590413088153718,5.622879177878577,3.9215879262899596,0.5648233434206569,0.31738359779443437
