arm,update,train_future_iou_percent,zero_address_iou_percent,reverse_address_iou_percent,moving2s_epe_m,moving2s_predicted_magnitude_m,zero_moving2s_epe_m,stationary2s_epe_m,zero_stationary2s_epe_m,occupancy_loss_mean,physical_loss_mean,occupancy_gradient_norm_mean,weighted_physical_gradient_norm_mean,dynamic_gradient_cosine_mean,velocity_gradient_cosine_mean
P,0,6.606961803533378,6.606961803533378,6.606961803533378,11.610731684460564,0.0,11.610731684460564,0.019072275969982455,0.019072275969982455,0.4992067515850067,0.9396656900644302,0.39134279699979824,0.04615532776084148,0.03168116076078014,0.05283455965426971
P,32,6.350082029671798,5.684281180166784,5.195879369104684,10.884549088737238,0.9733155843863441,11.610731684460564,0.3351650344043051,0.019072275969982455,0.5075976997613907,0.8437361046671867,1.1372245581200673,0.12380205745398955,0.007189579265748428,0.01986069993913961
P,128,2.9406839170175507,2.2364419185018405,1.8543587224100437,4.849157012541436,7.710036189459534,11.610731684460564,0.41668013624306255,0.019072275969982455,0.6467266082763672,0.36996923573315144,6.000726185062771,0.1855150016120226,-0.06812294125583787,-0.015869076991805238
P,512,2.8628786579892074,2.0003408600249872,1.632116228544996,0.6757689879696744,11.29492457652674,11.610731684460564,0.26557521316962257,0.019072275969982455,0.6831119209527969,0.05027954955585301,6.606302720746885,0.14938596942397636,0.059916413039889475,-0.01233704030051333
J,0,6.606961803533378,6.606961803533378,6.606961803533378,11.610731684460564,0.0,11.610731684460564,0.019072275969982455,0.019072275969982455,0.4992067366838455,0.9396656602621078,0.391342826297843,0.04615532776084148,0.03168111969886032,0.052834504811981806
J,32,10.818601236591432,9.784165401642367,8.91023236715,11.447391950338362,0.3669188327476493,11.610731684460564,0.2605706509459447,0.019072275969982455,0.4596719369292259,0.9166547507047653,0.2938040417683037,0.0689441688704639,-0.032976112224253076,-0.09317049814274281
J,128,17.402472649379945,14.207760461550556,11.385409921470245,10.427357987853316,1.4828167858400163,11.610731684460564,0.44891652781220776,0.019072275969982455,0.42860621958971024,0.7812776975333691,0.35622168915787433,0.1180573723560707,-3.809538438339852e-05,-0.12192211699536157
J,512,22.093264055624267,10.249767051059234,6.3746223265453885,2.120554774279441,10.355783637052577,11.610731684460564,0.5479297597562153,0.019072275969982455,0.4056449383497238,0.18810645584017038,0.3985053915497573,0.24211503571692256,0.08246900958886456,-0.03308181057386496
D,0,6.606961803533378,6.606961803533378,6.606961803533378,11.610731684460564,0.0,11.610731684460564,0.019072275969982455,0.019072275969982455,0.4992067366838455,0.9396656602621078,0.30025699611541645,0.04615532776084148,0.0,
D,32,10.140512084686595,10.140512084686595,10.140512084686595,11.391783999681795,0.41209586727707703,11.610731684460564,0.32067615441180936,0.019072275969982455,0.4635258689522743,0.9008298069238663,0.28549276539198076,0.0581573202556607,-0.03147268314474179,
D,128,16.885572781577267,16.885572781577267,16.885572781577267,10.138417802721257,1.7682069675882328,11.610731684460564,0.4388052426842267,0.019072275969982455,0.4293726459145546,0.7435217164456844,0.26097514018843077,0.13379923755784068,-0.0999773403858446,
D,512,20.23347083629287,20.23347083629287,20.23347083629287,1.7738254275821785,10.624133863783204,11.610731684460564,0.5155067811432977,0.019072275969982455,0.4069298356771469,0.14783854596316814,0.24696571195650754,0.4425660791296867,0.1823975882361897,
