clock,horizon_s,group,arm,objects,points,xy_epe_m,xyz_epe_m,predicted_speed_mps,all_support_fraction,quality_support_fraction
nominal,0.5,moving,zero,142,14718,1.676832454891194,1.6799942674984434,0.0,0.3564889229658977,0.28897640524335894
nominal,0.5,moving,D,142,14718,1.0556292675274666,1.0610109126014713,1.735219209472798,0.3564889229658977,0.28897640524335894
nominal,0.5,moving,CRN_CV,142,14718,0.733300982861524,0.7420072268476278,2.2297731417147277,0.3564889229658977,0.28897640524335894
nominal,0.5,moving,CV_D_speed05,142,14718,0.6666491104490987,0.6754293600784138,2.401835502984386,0.3564889229658977,0.28897640524335894
nominal,0.5,moving,surface_all_zero,142,14718,1.4877823759378797,1.4916956538239767,0.9541771092595929,0.3564889229658977,0.28897640524335894
nominal,0.5,moving,surface_quality_zero,142,14718,1.5026703583025696,1.5064057684680123,0.7794752212349485,0.3564889229658977,0.28897640524335894
nominal,0.5,moving,CV_surface_all_uncovered,142,14718,0.703716310897351,0.7124485215417751,2.389825003868505,0.3564889229658977,0.28897640524335894
nominal,0.5,moving,CV_surface_quality_uncovered,142,14718,0.7026599815608968,0.7114530616248529,2.3383297847391695,0.3564889229658977,0.28897640524335894
nominal,1.0,all,zero,366,39975,1.2602264619109147,1.2802993571791126,0.0,0.3371038197114151,0.27983505933374236
nominal,1.0,all,D,366,39975,0.8053896457440783,0.8236570422292054,0.726797379537968,0.3371038197114151,0.27983505933374236
nominal,1.0,all,CRN_CV,366,39975,0.5538969353351048,0.5770617616273134,0.8747040311781276,0.3371038197114151,0.27983505933374236
nominal,1.0,all,CV_D_speed05,366,39975,0.5037708563352533,0.5269744911330531,0.944127922625506,0.3371038197114151,0.27983505933374236
nominal,1.0,all,surface_all_zero,366,39975,1.3026553426798977,1.3189405225899007,0.5726636200191431,0.3371038197114151,0.27983505933374236
nominal,1.0,all,surface_quality_zero,366,39975,1.24855459165708,1.2662509141883054,0.4387829925589656,0.3371038197114151,0.27983505933374236
nominal,1.0,all,CV_surface_all_uncovered,366,39975,0.5824609451111189,0.6039232062932024,0.990893552647187,0.3371038197114151,0.27983505933374236
nominal,1.0,all,CV_surface_quality_uncovered,366,39975,0.5595234448791555,0.5817377100229733,0.947930389310957,0.3371038197114151,0.27983505933374236
nominal,1.0,stationary,zero,180,18337,0.02509893780165559,0.05482626941543632,0.0,0.31278669720899727,0.2627502781760691
nominal,1.0,stationary,D,180,18337,0.09796353829894705,0.12086380343248063,0.09040349416319585,0.31278669720899727,0.2627502781760691
nominal,1.0,stationary,CRN_CV,180,18337,0.03445256194259361,0.06325535754602926,0.011180930134919213,0.31278669720899727,0.2627502781760691
nominal,1.0,stationary,CV_D_speed05,180,18337,0.03838456948125217,0.06713266700065948,0.01517651870805479,0.31278669720899727,0.2627502781760691
nominal,1.0,stationary,surface_all_zero,180,18337,0.328893006804732,0.35023207613902246,0.31172275842519365,0.31278669720899727,0.2627502781760691
